ArealAttributionType,PoliceDistrict,PoliceMerhav,PoliceStation,Settlement_Council,StatArea,Quarter,StatisticCrimeGroup,StatisticCrimeType,TikimSum
"תיקים בטריטוריית תחנה שלא שוייכו לאזור סטטיסטי, או לישוב/מועצה",מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,,,2021-Q2,,,1
"תיקים בטריטוריית תחנה שלא שוייכו לאזור סטטיסטי, או לישוב/מועצה",מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,,,2021-Q3,,,2
"תיקים בטריטוריית תחנה שלא שוייכו לאזור סטטיסטי, או לישוב/מועצה",מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,,,2021-Q4,,,2
"תיקים בטריטוריית תחנה שלא שוייכו לאזור סטטיסטי, או לישוב/מועצה",מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,,,2022-Q1,,,1
"תיקים בטריטוריית תחנה שלא שוייכו לאזור סטטיסטי, או לישוב/מועצה",מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,,,2022-Q2,,,2
"תיקים בטריטוריית תחנה שלא שוייכו לאזור סטטיסטי, או לישוב/מועצה",מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,,,2022-Q4,,,3
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2018-Q1,,,575
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2018-Q2,,,261
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2018-Q3,,,218
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2018-Q4,,,241
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2019-Q1,,,427
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2019-Q2,,,288
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2019-Q3,,,277
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2019-Q4,,,237
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2020-Q1,,,353
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2020-Q2,,,183
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2020-Q3,,,197
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2020-Q4,,,162
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2021-Q1,,,204
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2021-Q2,,,280
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2021-Q3,,,222
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2021-Q4,,,178
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2022-Q1,,,310
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2022-Q2,,,227
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2022-Q3,,,158
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2022-Q4,,,220
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,ישוב פלסטיני,,2023-Q1,,,218
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,מועצה אזורית הר חברון,,2018-Q1,עבירות בטחון,עבירות אחרות כלפי בטחון,1
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,מועצה אזורית הר חברון,,2018-Q1,עבירות בטחון,עבירות על חוקי חרום,1
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,מועצה אזורית הר חברון,,2018-Q1,עבירות כלפי המוסר,שמוש בסמים מסוכנים,12
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב יהודה שי,תחנת חברון יהודה,מועצה אזורית הר חברון,,2018-Q1,עבירות כלפי הרכוש,גניבה מתוך רכב,2
