ArealAttributionType,PoliceDistrict,PoliceMerhav,PoliceStation,Settlement_Council,StatArea,Quarter,StatisticCrimeGroup,StatisticCrimeType,TikimSum
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2018-Q1,,,267
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2018-Q2,,,316
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2018-Q3,,,358
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2018-Q4,,,261
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2019-Q1,,,259
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2019-Q2,,,330
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2019-Q3,,,341
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2019-Q4,,,214
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2020-Q1,,,186
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2020-Q2,,,28
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2020-Q3,,,68
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2020-Q4,,,81
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2021-Q1,,,86
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2021-Q2,,,103
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2021-Q3,,,249
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2021-Q4,,,235
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2022-Q1,,,457
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2022-Q2,,,281
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2022-Q3,,,259
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2022-Q4,,,222
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז מרכז,מרחב נתבג מרכז,מרחב נתבג מרכז,מקום אחר,,2023-Q1,,,192
