ArealAttributionType,PoliceDistrict,PoliceMerhav,PoliceStation,Settlement_Council,StatArea,Quarter,StatisticCrimeGroup,StatisticCrimeType,TikimSum
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2018-Q1,,,470
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2018-Q2,,,339
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2018-Q3,,,303
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2018-Q4,,,353
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2019-Q1,,,375
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2019-Q2,,,387
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2019-Q3,,,380
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2019-Q4,,,328
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2020-Q1,,,299
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2020-Q2,,,284
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2020-Q3,,,305
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2020-Q4,,,287
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2021-Q1,,,340
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2021-Q2,,,305
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2021-Q3,,,314
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2021-Q4,,,270
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2022-Q1,,,345
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2022-Q2,,,328
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2022-Q3,,,302
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2022-Q4,,,311
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,,2023-Q1,,,360
תיקים באזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,89000001.0,2021-Q1,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,1
תיקים באזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,89000001.0,2022-Q1,עבירות כלפי הרכוש,סחיטה,1
תיקים באזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,89000001.0,2022-Q3,עבירות כלכליות,עבירות פיסקליות,1
תיקים באזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,89000004.0,2018-Q3,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,1
תיקים באזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,89000004.0,2018-Q3,עבירות נגד גוף,חבלה גופנית חמורה,1
תיקים באזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,89000004.0,2018-Q3,עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,2
תיקים באזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,89000004.0,2020-Q2,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,1
תיקים באזור סטטיסטי,מחוז צפון,מרחב גליל צפון,תחנת טמרה גליל צפון,טמרה,89000004.0,2020-Q4,עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,1
