ArealAttributionType,PoliceDistrict,PoliceMerhav,PoliceStation,Settlement_Council,StatArea,Quarter,StatisticCrimeGroup,StatisticCrimeType,TikimSum
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אום אל-פחם,,2019-Q1,,,3
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אום אל-פחם,,2019-Q3,,,1
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אום אל-פחם,,2019-Q4,,,2
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אום אל-פחם,,2020-Q1,,,1
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אום אל-פחם,,2020-Q2,,,3
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אום אל-פחם,,2020-Q3,,,1
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אום אל-פחם,,2020-Q4,,,1
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אום אל-פחם,,2021-Q2,,,1
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אום אל-פחם,,2021-Q3,,,1
תיקים בישוב/מועצה שלא שוייכו לאזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אום אל-פחם,,2022-Q2,,,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות בטחון,עבירות אחרות כלפי בטחון,8
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות כלפי המוסר,"גידול,ייצור והפקת-סמים",1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות כלפי המוסר,החזקת סמים שלא לצריכה עצמית,2
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות כלפי המוסר,"סחר,יבוא ויצוא סמים",6
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות כלפי המוסר,שמוש בסמים מסוכנים,7
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות כלפי הרכוש,גניבה מתוך רכב,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,3
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות כלפי הרכוש,גניבות אחרות,4
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות כלפי הרכוש,גניבת חלקי רכב,2
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות כלפי הרכוש,התפרצות לבית דירה,4
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,7
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות נגד גוף,תקיפת עובדי צבור בתפקיד,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות סדר ציבורי,איומים,5
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות סדר ציבורי,הכשלת עובד ציבור,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות סדר ציבורי,הכשלת שוטר,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,4
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,4
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות סדר ציבורי,עבירות על חוק הכניסה לישראל,5
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות סדר ציבורי,תקיפת והכשלת שוטר,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות רשוי,עבירות נגד הסביבה,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות תנועה,אחרים,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q1,עבירות תנועה,עבירות טכניות,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,,,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות בטחון,ידוי אבנים,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות כלפי המוסר,החזקת סמים שלא לצריכה עצמית,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות כלפי המוסר,"סחר,יבוא ויצוא סמים",2
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות כלפי המוסר,שמוש בסמים מסוכנים,7
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות כלפי הרכוש,גניבות אחרות,7
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,7
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות כלפי הרכוש,התפרצות לבית דירה,6
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות כלפי הרכוש,התפרצות לבתי עסק ומוסדות,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות מרמה,עבירות הנוגעות לכרטיסי חיוב,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות מרמה,שאר עבירות מרמה,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,5
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות נגד גוף,חבלה גופנית חמורה,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות נגד גוף,תקיפת עובדי צבור בתפקיד,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות סדר ציבורי,איומים,7
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות סדר ציבורי,הסגות גבול,1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,3
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,עבירות סדר ציבורי,עבירות על חוק הכניסה לישראל,2
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q2,קבוצת כל השאר,סטיסטי כל השאר,4
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות בטחון,ידוי אבנים,2
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות כלפי המוסר,החזקת סמים שלא לצריכה עצמית,3
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות כלפי המוסר,"סחר,יבוא ויצוא סמים",1
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות כלפי המוסר,שמוש בסמים מסוכנים,6
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות כלפי הרכוש,גניבה שמוש רכב ללא רשות,2
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות כלפי הרכוש,גניבות אחרות,5
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות כלפי הרכוש,גרימת נזק לרכוש בזדון,3
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות כלפי הרכוש,התפרצות לבית דירה,14
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות כלפי הרכוש,עבירות נגד המחשב,2
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,4
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות נגד גוף,רשלנות ופחזות פלילית,3
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות נגד גוף,תקיפת עובדי צבור בתפקיד,2
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות סדר ציבורי,איומים,5
תיקים באזור סטטיסטי,מחוז שי,מרחב שומרון שי,תחנת אריאל מרחב שומרון,אורנית,37600001.0,2018-Q3,עבירות סדר ציבורי,הסגות גבול,1
